Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Rs highest degree,Respondents sex,Rs occupational prestige score (2010)
43,16,20,12,12,Graduate,Female,32
73,16,14,16,15,Bachelor,Female,61
34,16,12,16,12,Bachelor,Female,64
87,14,Don't know,Don't know,Not applicable,High school,Male,35
32,18,16,13,Not applicable,Graduate,Female,51
31,14,9,9,Not applicable,High school,Female,35
33,12,12,Not applicable,Not applicable,High school,Male,24
69,12,12,12,Not applicable,High school,Male,35
77,12,16,16,Not applicable,High school,Male,39
52,13,Not applicable,Don't know,Not applicable,High school,Male,37
37,15,12,Not applicable,Not applicable,High school,Male,61
52,12,Not applicable,12,Not applicable,High school,Male,37
38,16,12,12,Not applicable,Bachelor,Female,38
55,11,Don't know,17,Not applicable,High school,Male,45
75,13,8,12,14,High school,Female,37
50,14,Not applicable,12,12,High school,Female,25
25,12,11,12,Not applicable,High school,Female,51
28,12,14,12,13,High school,Male,28
76,16,14,12,Not applicable,Bachelor,Male,51
52,16,13,14,14,Bachelor,Male,58
22,12,13,16,Not applicable,High school,Male,45
57,11,8,12,Not applicable,Lt high school,Male,50
84,8,Not applicable,3,Not applicable,Lt high school,Female,42
63,14,10,10,16,High school,Female,36
58,20,Not applicable,20,Not applicable,Graduate,Female,50
43,11,7,8,13,High school,Female,48
25,13,12,13,Not applicable,High school,Female,74
39,10,Not applicable,12,16,Lt high school,Male,28
31,15,12,Not applicable,Not applicable,Junior college,Female,64
39,12,16,15,Not applicable,High school,Female,39
34,12,14,12,Not applicable,High school,Female,47
27,14,Not applicable,13,14,Junior college,Male,24
35,16,12,16,Not applicable,High school,Male,31
24,17,9,11,Not applicable,High school,Female,31
48,16,Not applicable,13,Not applicable,Bachelor,Male,65
21,14,16,16,Not applicable,High school,Male,29
30,15,16,16,Not applicable,High school,Male,44
36,15,20,20,Not applicable,High school,Male,31
52,12,13,16,Not applicable,High school,Male,20
36,17,15,12,17,Graduate,Male,72
80,18,12,5,Not applicable,Graduate,Female,74
27,16,16,16,Not applicable,Bachelor,Female,37
24,18,Not applicable,16,Not applicable,Bachelor,Female,35
44,12,12,14,Not applicable,High school,Female,47
89 or older,11,6,10,12,Lt high school,Male,44
22,13,12,12,Not applicable,High school,Male,31
48,12,12,12,12,High school,Male,39
33,9,9,7,Not applicable,Lt high school,Female,47
59,12,0,0,Not applicable,Lt high school,Female,24
43,13,Not applicable,14,Not applicable,High school,Male,35
32,12,1,0,12,Lt high school,Female,22
62,16,12,Not applicable,Not applicable,Junior college,Female,60
53,12,12,18,12,High school,Female,17
59,13,12,Not applicable,18,High school,Female,64
47,12,10,10,13,High school,Male,28
18,12,8,11,Not applicable,High school,Female,0
64,12,12,5,Not applicable,High school,Male,35
22,12,Not applicable,12,Not applicable,High school,Male,33
37,16,18,18,16,Bachelor,Female,68
31,16,16,16,Not applicable,Bachelor,Female,48
72,14,Don't know,14,Not applicable,High school,Female,48
32,16,13,16,16,Bachelor,Female,71
69,16,12,18,18,Bachelor,Male,46
32,16,12,12,Not applicable,Bachelor,Female,39
32,16,14,14,Not applicable,Bachelor,Male,38
60,15,8,14,Not applicable,Junior college,Female,47
70,5,4,2,Not applicable,Lt high school,Male,32
41,14,Not applicable,12,Not applicable,Junior college,Female,31
35,17,Not applicable,16,Not applicable,Junior college,Female,74
77,14,14,16,Not applicable,Junior college,Female,47
57,10,Don't know,12,Not applicable,High school,Male,28
26,15,13,12,Not applicable,High school,Male,38
56,12,Don't know,Don't know,Not applicable,High school,Male,40
24,16,14,14,Not applicable,Bachelor,Male,51
56,11,Not applicable,11,Not applicable,Lt high school,Female,48
39,3,4,4,Not applicable,Lt high school,Female,22
30,20,20,20,20,Graduate,Female,74
26,16,14,18,Not applicable,Bachelor,Female,25
31,12,Don't know,Not applicable,Not applicable,High school,Female,25
36,16,12,10,18,Bachelor,Female,65
69,16,Don't know,7,16,Junior college,Male,60
39,16,17,16,17,Bachelor,Female,49
53,11,9,12,13,High school,Male,35
55,12,14,Not applicable,Not applicable,High school,Male,28
50,9,12,12,Not applicable,High school,Female,30
31,18,18,16,18,Graduate,Male,65
70,17,12,12,Not applicable,Bachelor,Female,61
68,14,16,16,Not applicable,Junior college,Female,50
73,15,12,Don't know,16,High school,Male,74
60,20,16,14,Not applicable,Graduate,Female,38
30,12,Don't know,12,Not applicable,High school,Male,28
60,14,12,12,12,High school,Female,32
61,12,8,12,Not applicable,High school,Male,29
69,11,Don't know,12,Not applicable,Lt high school,Female,25
41,9,Not applicable,Don't know,Not applicable,High school,Male,49
64,14,Not applicable,19,Not applicable,Junior college,Male,48
63,12,9,9,Not applicable,High school,Female,35
22,11,Not applicable,13,Not applicable,Lt high school,Male,49
33,12,Not applicable,0,Not applicable,Lt high school,Female,0
56,16,12,8,Not applicable,Bachelor,Male,72
30,15,Not applicable,12,18,Junior college,Female,46
89 or older,14,Not applicable,11,Not applicable,Junior college,Female,36
61,16,12,9,Not applicable,Bachelor,Female,33
55,12,14,12,Not applicable,High school,Male,29
67,18,20,18,Not applicable,Graduate,Female,64
61,12,6,8,12,High school,Female,28
69,12,14,12,Not applicable,High school,Male,31
30,16,Don't know,19,Not applicable,Bachelor,Male,31
70,12,14,12,12,High school,Male,59
41,13,12,12,Not applicable,High school,Male,35
67,8,10,10,Not applicable,Lt high school,Female,38
62,12,Not applicable,7,Not applicable,High school,Male,26
36,14,16,15,Not applicable,High school,Female,44
51,14,14,12,12,Junior college,Female,47
65,16,12,12,12,Bachelor,Female,47
63,12,Not applicable,12,Not applicable,High school,Male,26
23,16,14,12,Not applicable,Bachelor,Male,52
89 or older,12,Don't know,Don't know,Not applicable,High school,Female,31
47,16,16,13,12,Junior college,Female,37
75,12,8,12,Not applicable,High school,Female,39
24,12,12,14,13,High school,Male,42
42,13,12,14,18,High school,Male,73
29,12,Not applicable,13,Not applicable,High school,Female,0
26,14,Not applicable,12,Not applicable,Junior college,Female,55
89 or older,10,Not applicable,Don't know,Not applicable,Lt high school,Female,24
76,12,6,6,12,High school,Female,31
36,12,12,12,9,High school,Female,29
77,12,12,12,10,High school,Female,45
32,12,14,12,16,High school,Male,42
72,12,12,Don't know,Not applicable,High school,Male,35
39,17,12,17,12,Bachelor,Female,25
71,12,9,10,12,High school,Female,33
31,14,20,9,Not applicable,Graduate,Male,32
69,18,18,12,16,Graduate,Male,53
35,3,0,0,1,Lt high school,Male,33
80,16,8,8,12,Graduate,Male,64
49,16,16,16,Not applicable,Bachelor,Male,64
42,12,12,12,12,High school,Male,49
36,3,0,1,6,Lt high school,Female,27
71,10,Not applicable,Don't know,10,High school,Male,27
64,6,8,Don't know,Not applicable,Lt high school,Male,50
57,14,6,12,Not applicable,Junior college,Male,45
24,12,11,12,12,High school,Female,31
47,13,12,12,Not applicable,High school,Female,47
23,13,13,12,Not applicable,High school,Male,47
46,14,10,12,Not applicable,Junior college,Male,47
57,10,Don't know,Don't know,Not applicable,Lt high school,Male,43
50,18,15,Not applicable,13,Graduate,Female,53
34,13,Not applicable,13,Not applicable,High school,Female,62
20,13,16,16,Not applicable,High school,Male,0
49,15,16,14,14,High school,Female,47
30,15,Not applicable,12,Not applicable,High school,Female,46
29,12,Not applicable,14,16,High school,Male,25
61,12,Don't know,12,Not applicable,High school,Female,31
29,20,15,17,Not applicable,Graduate,Female,0
21,14,12,12,Not applicable,High school,Male,0
24,16,12,16,Not applicable,High school,Male,70
34,18,12,12,14,Graduate,Female,47
25,14,Not applicable,16,Not applicable,High school,Female,25
21,14,16,16,Not applicable,High school,Male,0
22,15,16,19,Not applicable,High school,Male,0
38,12,Don't know,Don't know,Not applicable,High school,Male,36
70,12,12,12,15,High school,Male,50
33,12,12,14,10,High school,Female,35
75,10,Not applicable,12,9,Lt high school,Female,37
56,12,16,Not applicable,10,High school,Male,27
68,16,16,14,16,Bachelor,Male,60
39,12,Not applicable,12,15,High school,Female,39
54,14,14,12,12,High school,Female,41
60,12,6,5,17,High school,Male,50
60,14,8,12,14,High school,Male,25
36,18,14,16,16,Graduate,Male,47
31,12,10,12,12,High school,Female,64
41,16,Not applicable,Don't know,14,Bachelor,Female,64
29,14,12,13,Not applicable,High school,Female,16
38,16,12,12,12,Bachelor,Female,25
42,15,Not applicable,12,Not applicable,High school,Female,48
69,13,12,12,Not applicable,High school,Female,40
29,16,12,16,16,Graduate,Female,61
33,3,3,5,6,Lt high school,Male,28
27,14,Not applicable,12,12,High school,Male,25
42,14,10,14,13,Junior college,Male,25
57,19,12,18,16,Bachelor,Male,53
41,18,18,20,Not applicable,Bachelor,Female,59
70,16,17,12,Not applicable,Bachelor,Female,58
31,8,Not applicable,14,15,Lt high school,Male,31
68,14,8,9,14,Junior college,Female,51
38,20,16,12,20,Graduate,Female,66
57,16,16,12,Not applicable,High school,Male,38
38,15,12,12,12,Junior college,Male,39
30,18,14,14,Not applicable,Graduate,Female,25
68,11,5,12,12,Lt high school,Male,43
75,12,Not applicable,12,Not applicable,High school,Female,39
82,12,Don't know,7,12,High school,Male,50
71,19,12,Not applicable,11,Junior college,Male,43
44,9,10,Not applicable,9,High school,Male,35
82,13,12,13,Not applicable,High school,Female,39
69,12,12,Don't know,18,High school,Female,0
40,16,Not applicable,12,Not applicable,Bachelor,Male,64
61,12,Don't know,Don't know,Not applicable,Lt high school,Female,33
70,11,Not applicable,Not applicable,12,High school,Male,46
57,13,14,15,16,High school,Female,49
37,16,18,9,Not applicable,Bachelor,Female,64
64,15,Don't know,12,14,Bachelor,Male,32
74,18,7,8,Not applicable,Graduate,Female,55
71,12,Not applicable,Don't know,Not applicable,High school,Female,61
22,14,Not applicable,16,Not applicable,High school,Male,43
26,10,6,10,Not applicable,Lt high school,Female,28
52,13,8,Not applicable,9,High school,Female,46
84,12,3,2,Not applicable,High school,Female,35
22,10,Not applicable,Don't know,Not applicable,Lt high school,Male,34
28,13,Not applicable,13,Not applicable,High school,Male,31
60,12,12,12,Not applicable,High school,Female,60
31,15,14,11,Not applicable,High school,Female,48
45,15,12,Not applicable,Not applicable,High school,Male,32
49,14,12,12,12,High school,Male,37
32,10,Not applicable,7,Not applicable,Lt high school,Female,25
43,11,Not applicable,14,Not applicable,Lt high school,Female,25
45,14,Not applicable,12,Not applicable,High school,Female,48
65,14,12,12,16,High school,Male,49
32,14,12,16,Not applicable,High school,Female,48
23,11,12,12,Not applicable,Lt high school,Female,35
52,18,12,12,16,Graduate,Male,62
58,16,12,12,14,Bachelor,Female,47
21,15,Not applicable,12,Not applicable,High school,Female,31
77,16,8,12,Not applicable,Bachelor,Female,53
86,10,4,5,12,Lt high school,Male,49
52,14,8,12,Not applicable,Junior college,Female,62
66,16,9,12,Not applicable,Bachelor,Male,60
72,14,8,6,Not applicable,High school,Female,36
47,14,Not applicable,14,Not applicable,High school,Female,24
58,16,11,10,Not applicable,Bachelor,Male,56
35,15,Not applicable,9,Not applicable,Graduate,Female,54
50,14,16,16,Not applicable,Junior college,Female,53
84,17,18,7,Not applicable,Graduate,Female,50
22,15,Not applicable,16,Not applicable,High school,Male,32
29,17,16,16,Not applicable,Bachelor,Female,64
26,12,Not applicable,12,Not applicable,High school,Male,48
24,16,12,12,16,Bachelor,Female,50
No answer,12,Not applicable,12,No answer,High school,Female,40
38,14,12,14,12,Junior college,Male,46
31,16,Not applicable,18,Not applicable,Bachelor,Male,45
31,16,Not applicable,15,Not applicable,Bachelor,Female,67
30,16,Not applicable,20,Not applicable,Bachelor,Female,38
46,18,18,16,18,Graduate,Male,52
49,16,12,12,Not applicable,Bachelor,Male,43
29,10,Don't know,12,15,High school,Male,50
45,10,12,9,Not applicable,High school,Female,39
67,12,Not applicable,6,Not applicable,High school,Male,35
34,12,12,8,12,High school,Female,41
82,12,Not applicable,0,Not applicable,High school,Male,35
44,13,16,12,12,High school,Male,46
48,18,16,12,16,Graduate,Female,38
24,8,Don't know,Don't know,Not applicable,Lt high school,Female,21
56,12,16,Don't know,11,High school,Male,56
65,11,Don't know,Don't know,13,High school,Male,37
48,13,Not applicable,9,Not applicable,High school,Female,25
27,16,Not applicable,16,Not applicable,High school,Female,48
55,18,18,16,18,Graduate,Female,72
25,15,16,13,16,High school,Male,31
55,12,Not applicable,10,Not applicable,High school,Female,48
71,13,Don't know,Don't know,Not applicable,High school,Female,40
26,12,Not applicable,12,Not applicable,High school,Male,28
59,12,12,12,16,High school,Female,35
56,16,20,13,Not applicable,High school,Female,45
58,20,8,12,Not applicable,Graduate,Female,60
27,15,Not applicable,13,Not applicable,Junior college,Female,42
69,13,12,9,15,High school,Female,33
30,13,16,16,Not applicable,High school,Female,58
71,17,Not applicable,7,Not applicable,Bachelor,Female,49
53,9,Don't know,Don't know,11,Lt high school,Female,61
No answer,14,Not applicable,15,Not applicable,Junior college,Male,35
34,11,16,Not applicable,14,Lt high school,Female,21
37,8,16,9,Not applicable,Lt high school,Female,39
29,14,Don't know,12,12,Junior college,Female,35
63,12,Don't know,Don't know,Not applicable,High school,Female,39
32,16,Not applicable,12,Not applicable,Junior college,Female,38
33,16,14,14,Not applicable,Bachelor,Male,60
79,12,Don't know,Don't know,Not applicable,High school,Female,35
22,12,Don't know,12,Not applicable,High school,Male,28
24,14,12,12,Not applicable,High school,Female,49
31,16,16,16,14,Bachelor,Female,63
43,16,16,12,16,Bachelor,Female,53
56,16,16,16,Not applicable,Bachelor,Female,80
54,14,12,14,Not applicable,High school,Male,65
47,12,14,12,16,High school,Male,38
72,16,12,12,18,Bachelor,Female,59
60,18,16,14,17,Graduate,Male,44
34,17,Not applicable,10,16,Graduate,Male,73
38,16,12,16,16,Bachelor,Male,63
58,18,Not applicable,16,18,Graduate,Female,53
67,16,16,16,Not applicable,Bachelor,Female,61
39,13,Not applicable,5,Not applicable,High school,Female,0
75,12,Not applicable,12,Not applicable,High school,Female,21
65,14,10,11,12,Junior college,Female,51
56,12,Not applicable,12,Not applicable,High school,Male,35
35,14,Not applicable,15,Not applicable,Junior college,Female,46
57,18,Not applicable,16,14,Graduate,Female,43
63,13,12,Don't know,13,High school,Male,25
29,12,Not applicable,Don't know,Not applicable,High school,Male,32
66,12,12,12,14,High school,Female,48
58,14,Not applicable,6,Not applicable,Junior college,Female,58
77,16,7,6,14,Bachelor,Female,55
38,6,0,6,Not applicable,Lt high school,Male,27
34,14,Not applicable,12,12,Junior college,Female,47
27,13,Not applicable,12,Not applicable,High school,Female,48
46,6,0,0,3,Lt high school,Female,46
45,17,Not applicable,12,Not applicable,Junior college,Female,43
23,13,Not applicable,6,12,Junior college,Female,48
25,16,Not applicable,16,Not applicable,Junior college,Female,48
23,14,10,12,Not applicable,High school,Female,31
57,12,Not applicable,10,11,High school,Male,34
58,14,16,12,16,Junior college,Female,46
50,8,12,Don't know,Not applicable,Lt high school,Female,18
70,13,Don't know,Don't know,Not applicable,High school,Male,49
58,14,12,14,Not applicable,Junior college,Female,62
68,15,Don't know,0,Not applicable,Junior college,Female,31
25,14,12,12,11,Junior college,Female,36
68,12,9,5,Not applicable,High school,Female,39
54,12,12,11,Not applicable,High school,Female,48
30,10,16,Not applicable,Not applicable,Lt high school,Female,0
64,12,12,12,Not applicable,High school,Female,28
58,11,6,12,14,Lt high school,Male,50
69,0,Don't know,Don't know,11,Lt high school,Female,25
56,12,16,Don't know,16,High school,Female,45
69,10,12,16,11,High school,Female,53
46,12,5,Don't know,12,High school,Male,35
34,11,Don't know,12,Not applicable,Lt high school,Male,25
67,13,7,14,Not applicable,High school,Female,60
40,13,12,10,Not applicable,High school,Female,39
44,12,12,12,Not applicable,High school,Female,38
32,15,Not applicable,14,Not applicable,Junior college,Female,35
33,10,9,12,Not applicable,Lt high school,Male,37
35,9,0,8,9,Lt high school,Male,49
70,15,11,12,11,Junior college,Female,53
59,13,Not applicable,Don't know,Not applicable,High school,Male,62
32,9,16,12,Not applicable,Lt high school,Female,50
53,12,10,12,14,High school,Male,35
39,10,12,Don't know,Not applicable,Lt high school,Female,24
43,19,Not applicable,15,14,Graduate,Female,53
26,12,Not applicable,16,Not applicable,High school,Male,25
64,20,10,3,16,Graduate,Male,39
62,11,Don't know,9,Not applicable,High school,Female,27
72,17,6,10,Not applicable,Bachelor,Male,65
58,12,12,12,12,High school,Female,47
22,12,11,13,13,Lt high school,Female,38
60,11,6,6,11,Lt high school,Male,45
42,13,13,12,16,High school,Male,73
62,16,5,12,Not applicable,Graduate,Male,62
39,14,11,9,Not applicable,Junior college,Female,64
24,12,Don't know,14,12,High school,Female,47
38,11,10,11,Not applicable,Lt high school,Female,38
39,14,12,10,14,High school,Female,60
32,16,12,16,13,Bachelor,Female,53
85,17,0,0,16,Graduate,Male,31
88,10,3,7,Not applicable,High school,Male,24
44,17,16,14,16,Bachelor,Female,74
18,12,12,14,Not applicable,High school,Male,0
32,14,16,16,Not applicable,Junior college,Female,32
60,18,11,12,12,Bachelor,Female,25
No answer,14,Not applicable,14,16,High school,Male,46
72,18,12,15,12,Graduate,Female,64
61,19,12,14,Not applicable,Graduate,Female,64
27,14,12,12,13,High school,Female,45
42,11,11,12,16,Lt high school,Male,59
51,16,Not applicable,11,Not applicable,Bachelor,Male,53
38,12,15,12,14,High school,Male,39
44,15,12,11,Not applicable,High school,Female,31
37,17,Not applicable,12,Not applicable,Bachelor,Male,64
73,10,Not applicable,9,Not applicable,Lt high school,Female,24
21,15,12,18,Not applicable,High school,Male,21
60,12,Not applicable,Don't know,Not applicable,High school,Male,66
70,12,Not applicable,9,11,High school,Female,24
70,18,0,0,Not applicable,Graduate,Female,61
89 or older,14,Don't know,16,12,Junior college,Male,39
35,11,11,11,Not applicable,Lt high school,Female,25
51,14,3,12,12,High school,Female,56
37,12,12,Don't know,14,High school,Female,53
71,15,12,9,18,High school,Male,25
35,12,7,7,18,High school,Male,46
78,14,5,12,14,High school,Male,72
32,12,Not applicable,12,Not applicable,High school,Male,35
62,14,16,12,Not applicable,High school,Male,60
41,14,14,Not applicable,16,Graduate,Female,51
36,12,16,16,10,High school,Female,31
20,13,12,16,Not applicable,High school,Male,24
36,13,Not applicable,20,Not applicable,High school,Female,24
85,14,8,Don't know,Not applicable,High school,Male,42
71,16,Not applicable,5,Not applicable,Bachelor,Male,39
30,16,12,16,Not applicable,Bachelor,Male,53
81,12,Don't know,8,Not applicable,High school,Female,54
88,11,11,0,18,High school,Male,72
76,16,12,12,Not applicable,Bachelor,Female,64
59,16,16,13,16,Bachelor,Female,55
88,14,6,6,Not applicable,Junior college,Female,64
64,11,Don't know,6,Not applicable,High school,Female,25
75,12,15,16,Not applicable,High school,Female,64
55,9,0,Not applicable,Not applicable,High school,Female,30
55,12,4,5,Not applicable,High school,Female,49
61,20,20,12,14,Graduate,Male,62
38,14,8,12,19,Junior college,Male,33
50,16,13,14,Not applicable,Bachelor,Female,34
54,16,Don't know,Don't know,Not applicable,Bachelor,Female,31
80,12,Don't know,Don't know,Not applicable,High school,Female,0
33,17,12,14,Not applicable,Bachelor,Female,62
25,13,14,16,Not applicable,High school,Male,29
22,14,11,14,Not applicable,High school,Male,0
38,14,10,14,Not applicable,Junior college,Female,40
25,12,12,Not applicable,Not applicable,High school,Male,25
63,12,9,12,Not applicable,High school,Male,36
22,13,16,13,Not applicable,High school,Male,38
40,12,16,16,12,High school,Female,33
69,12,11,8,9,High school,Female,25
20,14,16,16,Not applicable,High school,Female,74
54,12,12,12,14,High school,Male,43
19,12,16,16,Not applicable,High school,Male,31
34,14,Not applicable,12,Not applicable,Junior college,Male,43
59,16,18,14,20,Bachelor,Female,69
59,17,Not applicable,20,18,Bachelor,Male,72
44,16,Not applicable,12,19,Bachelor,Female,45
34,19,13,18,16,Graduate,Male,69
35,16,19,20,16,Bachelor,Female,52
42,16,20,14,19,Bachelor,Female,44
86,15,8,8,Not applicable,High school,Male,45
32,15,13,16,Not applicable,High school,Female,32
61,12,10,11,Not applicable,High school,Female,48
19,12,12,12,Not applicable,High school,Male,28
39,12,9,12,14,High school,Male,37
71,8,12,12,14,Lt high school,Female,31
49,12,Not applicable,6,6,High school,Female,27
23,12,14,12,Not applicable,High school,Male,32
56,12,12,12,12,High school,Female,48
47,12,12,12,Not applicable,High school,Male,42
89 or older,12,Not applicable,12,Not applicable,High school,Female,32
66,14,12,16,Not applicable,High school,Female,48
54,19,11,8,16,Graduate,Female,69
33,17,15,12,16,Bachelor,Male,60
53,13,Not applicable,Don't know,Not applicable,High school,Female,38
76,11,Don't know,9,12,Lt high school,Male,27
86,11,8,10,Not applicable,Lt high school,Female,0
61,16,12,10,14,Bachelor,Male,25
71,16,12,14,16,Graduate,Female,61
42,15,12,12,15,Junior college,Male,59
23,14,12,Don't know,Not applicable,High school,Female,31
44,12,7,10,Not applicable,High school,Male,50
63,15,Don't know,4,Not applicable,Junior college,Male,31
68,12,12,12,Not applicable,High school,Female,60
30,12,12,12,Not applicable,High school,Female,47
82,14,13,13,Not applicable,High school,Female,47
43,14,Not applicable,17,Not applicable,High school,Female,23
26,13,Not applicable,9,Not applicable,High school,Female,48
57,14,Not applicable,12,Not applicable,High school,Female,61
42,14,13,12,14,Junior college,Female,52
42,16,12,12,16,Bachelor,Male,39
74,12,Don't know,Don't know,12,High school,Male,59
47,12,12,12,12,High school,Male,22
65,19,18,12,Not applicable,Graduate,Male,38
37,12,11,16,15,High school,Male,51
89 or older,8,Don't know,Don't know,Not applicable,Lt high school,Male,24
44,12,8,14,Not applicable,High school,Male,31
77,12,9,9,Not applicable,High school,Female,38
23,13,14,14,Not applicable,High school,Male,35
55,16,12,12,Not applicable,Bachelor,Female,60
37,19,12,18,Not applicable,Junior college,Male,46
81,12,6,6,Not applicable,High school,Female,28
60,13,12,12,Not applicable,High school,Female,39
54,10,Not applicable,8,12,High school,Female,48
43,16,12,13,17,Bachelor,Male,28
43,16,0,3,14,Junior college,Female,64
21,12,Not applicable,12,Not applicable,High school,Male,32
51,14,Not applicable,20,Not applicable,Bachelor,Female,33
36,16,12,14,17,Bachelor,Male,53
69,19,8,8,Not applicable,Graduate,Male,71
74,19,12,12,13,Graduate,Male,43
69,16,8,12,Not applicable,Bachelor,Male,25
34,12,12,12,13,High school,Female,36
30,17,12,16,18,Bachelor,Female,53
73,16,12,12,Not applicable,Bachelor,Male,54
34,15,12,16,16,High school,Male,43
34,16,14,18,16,Bachelor,Male,73
39,17,14,15,16,Bachelor,Male,73
34,15,Don't know,Don't know,19,Junior college,Male,23
65,12,7,10,12,High school,Female,26
46,12,12,12,Not applicable,High school,Female,55
37,20,13,14,16,Bachelor,Male,58
22,12,12,18,Not applicable,High school,Male,24
55,12,Not applicable,12,Not applicable,High school,Male,48
59,12,12,12,Not applicable,High school,Female,35
69,18,20,12,Not applicable,Bachelor,Male,0
55,16,15,12,Not applicable,Junior college,Female,51
78,15,10,9,14,High school,Male,47
88,16,10,9,Not applicable,Bachelor,Female,51
57,18,9,9,Not applicable,Graduate,Female,61
41,9,Don't know,Don't know,Not applicable,Lt high school,Male,44
41,12,Don't know,Don't know,Not applicable,High school,Female,28
56,11,12,11,Not applicable,Lt high school,Female,28
28,12,Not applicable,12,Not applicable,High school,Male,40
25,13,20,Don't know,No answer,High school,Female,21
44,13,Not applicable,13,14,High school,Male,46
34,13,12,16,9,High school,Female,31
58,16,18,12,Not applicable,Bachelor,Male,48
57,12,Don't know,12,Not applicable,High school,Male,24
19,12,12,14,Not applicable,High school,Female,24
68,12,12,16,Not applicable,High school,Male,24
43,18,18,16,16,Graduate,Male,53
64,16,18,12,Not applicable,Bachelor,Male,46
43,15,12,12,Not applicable,High school,Male,36
28,19,13,13,16,Graduate,Female,74
23,17,12,12,Not applicable,Bachelor,Female,33
51,13,12,12,Not applicable,High school,Male,38
37,12,Not applicable,12,Not applicable,High school,Female,0
31,14,12,10,Not applicable,Junior college,Male,62
44,18,12,14,Not applicable,Graduate,Female,55
24,17,10,12,Not applicable,High school,Male,74
22,14,18,16,Not applicable,High school,Male,0
22,15,18,14,Not applicable,High school,Male,38
24,17,14,14,Not applicable,Bachelor,Male,0
23,12,12,Not applicable,Not applicable,High school,Male,43
40,14,16,14,14,High school,Female,62
78,12,12,Don't know,Not applicable,High school,Female,36
62,12,Not applicable,12,Not applicable,High school,Male,25
55,15,16,18,12,Junior college,Male,59
27,16,12,12,Not applicable,Junior college,Male,51
25,13,Not applicable,13,12,High school,Female,38
52,18,14,16,Not applicable,Bachelor,Male,74
54,12,12,12,Not applicable,High school,Male,38
76,10,8,6,Not applicable,High school,Female,35
52,14,15,12,Not applicable,High school,Male,30
41,16,Not applicable,12,Not applicable,Bachelor,Male,27
50,17,Not applicable,12,Not applicable,Bachelor,Female,48
43,18,12,12,13,Graduate,Female,51
69,12,12,12,12,High school,Male,70
51,12,12,10,10,High school,Female,35
74,14,12,12,13,High school,Male,49
48,12,12,14,12,High school,Female,38
63,12,7,11,12,High school,Female,47
59,16,12,14,18,Bachelor,Female,54
24,17,12,13,Not applicable,Bachelor,Male,74
65,12,12,Don't know,Not applicable,High school,Male,22
63,11,Not applicable,Don't know,Not applicable,High school,Female,29
39,16,12,16,Not applicable,Bachelor,Female,64
66,11,10,11,Not applicable,Lt high school,Female,32
38,18,12,12,18,Graduate,Male,60
63,16,8,8,Not applicable,Bachelor,Female,38
89 or older,12,8,12,Not applicable,High school,Female,31
63,11,12,12,Not applicable,Lt high school,Male,24
58,10,12,12,Not applicable,High school,Male,39
25,10,Don't know,Don't know,Not applicable,High school,Male,35
51,12,12,14,12,High school,Male,53
69,12,12,9,Not applicable,High school,Female,25
45,16,12,Not applicable,16,Graduate,Female,72
58,16,13,12,16,Bachelor,Female,64
73,12,Don't know,Don't know,Not applicable,High school,Female,40
64,12,Not applicable,10,Not applicable,High school,Female,47
35,16,12,12,11,Bachelor,Female,53
68,12,8,10,12,High school,Male,34
61,17,12,11,Not applicable,Bachelor,Female,61
86,20,5,12,Not applicable,Graduate,Female,64
54,12,12,12,18,High school,Male,53
47,16,12,16,19,Bachelor,Female,64
65,14,Not applicable,12,12,High school,Female,34
63,16,12,8,18,Bachelor,Male,39
67,14,7,12,Not applicable,High school,Female,47
64,13,12,Not applicable,13,Lt high school,Male,35
23,13,13,20,12,High school,Female,35
27,12,Not applicable,12,12,High school,Male,25
26,12,16,16,Not applicable,High school,Female,50
41,12,12,12,12,High school,Male,59
20,13,12,12,Not applicable,High school,Male,35
54,12,12,12,Not applicable,High school,Male,47
86,17,9,10,Not applicable,Bachelor,Female,54
68,12,Don't know,Don't know,Not applicable,High school,Female,32
54,8,20,12,Not applicable,Lt high school,Female,0
51,1,Don't know,0,6,Lt high school,Male,37
61,14,Not applicable,12,12,High school,Male,60
89 or older,14,8,12,Not applicable,High school,Male,49
54,12,12,12,12,High school,Female,28
72,20,12,12,Not applicable,Graduate,Male,61
19,13,8,8,Not applicable,High school,Female,28
59,16,8,12,13,Bachelor,Male,53
31,12,18,14,Not applicable,High school,Female,48
23,12,Don't know,14,Not applicable,High school,Female,48
55,14,12,14,Not applicable,Junior college,Female,35
34,16,16,16,16,Bachelor,Female,56
37,15,10,8,12,Junior college,Female,53
30,16,14,16,19,Bachelor,Female,57
33,16,16,16,12,Bachelor,Female,74
48,16,12,14,Not applicable,Bachelor,Male,38
60,16,12,12,20,Bachelor,Female,59
47,20,18,12,20,Graduate,Female,47
52,12,10,Don't know,Not applicable,High school,Female,50
67,12,12,8,12,High school,Male,45
29,13,13,Not applicable,Not applicable,High school,Male,35
31,13,12,16,Not applicable,High school,Female,36
36,16,12,14,16,Bachelor,Male,73
64,18,12,12,Not applicable,Junior college,Female,54
89 or older,16,8,8,Not applicable,Bachelor,Female,0
63,16,Not applicable,12,12,Bachelor,Female,64
24,11,9,11,Not applicable,High school,Male,24
35,14,Not applicable,12,Not applicable,Junior college,Female,45
